"","site.pop","rep","ind","branch","pop","site","site.rep","label_branch","individual","Wood_density_WW","Wood_density_DW","Branch_diameter_mm","notes","WD","cwd","ind.id"
"303","W15","6","","","15","W","W.6","W15_6",2,4.8,3.17,15.96333333,"",0.660416666666667,733.8575109,"W15_6_"
"304","W15","6","","","15","W","W.6","W15_6",3,3.27,2.38,9.27,"",0.72782874617737,733.8575109,"W15_6_"
"305","W16","3","","","16","W","W.3","W16_3",1,11.97,9.18,19.84333333,"",0.766917293233083,783.2500117,"W16_3_"
"306","W16","3","","","16","W","W.3","W16_3",2,11.25,8.8,19.90666667,"",0.782222222222222,783.2500117,"W16_3_"
"307","W3","3","","","3","W","W.3","W3_3",1,13.42,10.39,22.98,"",0.774217585692996,671.70251,"W3_3_"
"308","W3","3","","","3","W","W.3","W3_3",2,4.48,3.23,12.66,"",0.720982142857143,671.70251,"W3_3_"
"309","W3","3","","","3","W","W.3","W3_3",3,8.54,6.58,17.60666667,"",0.770491803278689,671.70251,"W3_3_"
"310","W3","8","","","3","W","W.8","W3_8",1,5.99,4.38,16.10333333,"removed some bark after dried",0.731218697829716,671.70251,"W3_8_"
"311","W3","8","","","3","W","W.8","W3_8",2,13.09,9.38,19.99,"",0.716577540106952,671.70251,"W3_8_"
"312","W1","1","","","1","W","W.1","W1_1",1,9.2,6.93,16.92,"",0.753260869565217,690.0800103,"W1_1_"
"313","W1","1","","","1","W","W.1","W1_1",2,8.4,6.5,19.93,"",0.773809523809524,690.0800103,"W1_1_"
"314","W1","1","","","1","W","W.1","W1_1",3,4.86,3.79,10.66333333,"",0.779835390946502,690.0800103,"W1_1_"
"315","W1","4","","","1","W","W.4","W1_4",1,13.19,9.49,20.04666667,"chunk of wood missing from sample",0.719484457922669,690.0800103,"W1_4_"
"316","W1","4","","","1","W","W.4","W1_4",2,10.76,7.76,18.15666667,"",0.721189591078067,690.0800103,"W1_4_"
"317","W1","7","","","1","W","W.7","W1_7",1,8.93,6.69,17.43666667,"",0.7491601343785,690.0800103,"W1_7_"
"318","W1","7","","","1","W","W.7","W1_7",2,2.77,1.94,10.70666667,"",0.700361010830325,690.0800103,"W1_7_"
"319","W1","7","","","1","W","W.7","W1_7",3,2.86,2.12,7.876666667,"",0.741258741258741,690.0800103,"W1_7_"
"320","W15","1","","","15","W","W.1","W15_1",1,3.05,2.09,14.83,"",0.685245901639344,733.8575109,"W15_1_"
"321","W15","1","","","15","W","W.1","W15_1",2,6.55,4.39,18.00333333,"",0.670229007633588,733.8575109,"W15_1_"
"322","W15","1","","","15","W","W.1","W15_1",3,4.18,2.97,12.94333333,"chunk of wood missing from sample",0.710526315789474,733.8575109,"W15_1_"
"323","W15","3","","","15","W","W.3","W15_3",1,2.68,1.81,8.763333333,"",0.675373134328358,733.8575109,"W15_3_"
"324","W15","3","","","15","W","W.3","W15_3",2,16.05,10.94,20.31666667,"",0.681619937694704,733.8575109,"W15_3_"
"325","W16","4","","","16","W","W.4","W16_4",1,13.01,10.32,17.14,"",0.793235972328978,783.2500117,"W16_4_"
"326","W16","7","","","16","W","W.7","W16_7",1,11.32,8.58,17.55666667,"W16_7, probably",0.757950530035336,783.2500117,"W16_7_"
"327","W16","7","","","16","W","W.7","W16_7",2,3.04,2.21,7.79,"W16_7, probably",0.726973684210526,783.2500117,"W16_7_"
