unique,treenum,treerow,rep,pop,sub,gall_survey,flash_sample,boink_sample,stems,height,diam_50cm
3_3_1,190,34,3,3,1,1,NA,NA,1,3.2,7.5
2_26_2,110,32,2,26,2,1,NA,NA,5,1,1.38
2_3_3,96,18,2,3,3,NA,NA,NA,1,3.7,7.4
2_16_1,112,34,2,16,1,NA,NA,1,3,4.3,7.8
2_16_2,113,35,2,16,2,1,NA,NA,2,4.5,8.9
2_15_1,151,73,2,15,1,1,NA,NA,2,3.4,7.4
2_2_1,115,37,2,2,1,1,NA,NA,1,4.5,6.2
2_2_2,116,38,2,2,2,NA,NA,NA,2,3.25,5.5
2_2_3,117,39,2,2,3,NA,NA,NA,3,3,5.6
2_4_1,118,40,2,4,1,NA,NA,NA,2,5,10.1
2_4_2,119,41,2,4,2,1,NA,NA,1,4.6,8
2_4_3,120,42,2,4,3,NA,NA,NA,2,3.6,6.1
2_10_1,121,43,2,10,1,NA,NA,NA,2,4,7.6
2_10_2,122,44,2,10,2,1,1,NA,1,4.3,8.5
2_10_3,123,45,2,10,3,NA,NA,NA,2,4.6,8.4
6_18_1,430,40,6,18,1,NA,NA,NA,1,3.75,7.4
2_1_2,125,47,2,1,2,NA,NA,1,2,5.2,11.6
2_15_3,153,75,2,15,3,NA,NA,NA,3,3.5,7.2
2_23_1,127,49,2,23,1,NA,NA,NA,2,3.2,5.6
2_23_2,128,50,2,23,2,1,NA,NA,3,3.4,5.7
2_23_3,129,51,2,23,3,NA,NA,NA,2,5.3,8
2_20_1,130,52,2,20,1,NA,NA,NA,3,4.3,6
2_20_2,131,53,2,20,2,NA,NA,NA,2,4.7,8.7
2_20_3,132,54,2,20,3,1,NA,NA,2,5.6,7.4
2_7_1,133,55,2,7,1,NA,NA,NA,2,4,7.1
2_7_2,134,56,2,7,2,NA,NA,NA,2,4,6.3
2_7_3,135,57,2,7,3,1,1,NA,2,5.2,10.4
2_19_1,136,58,2,19,1,NA,NA,NA,0,NA,NA
2_19_2,137,59,2,19,2,NA,NA,NA,3,3.7,9
2_19_3,138,60,2,19,3,1,1,NA,2,5.7,11.2
2_24_1,139,61,2,24,1,1,NA,NA,2,4.5,6.6
2_24_2,140,62,2,24,2,NA,NA,NA,3,3.8,6.4
2_24_3,141,63,2,24,3,NA,NA,NA,4,2.8,3.6
2_13_1,142,64,2,13,1,NA,1,NA,2,4.6,8.5
2_13_2,143,65,2,13,2,NA,NA,NA,3,4.6,8.2
2_13_3,144,66,2,13,3,1,NA,NA,2,4.25,9
2_5_1,145,67,2,5,1,1,NA,NA,1,2.7,5.8
2_5_2,146,68,2,5,2,NA,1,NA,2,4.6,9.4
2_5_3,147,69,2,5,3,NA,NA,NA,3,3.5,7.7
2_18_1,148,70,2,18,1,NA,NA,1,1,3.25,9
2_18_2,149,71,2,18,2,1,1,NA,1,3.7,5.9
6_16_1,394,4,6,16,1,NA,NA,NA,1,3.1,7.1
3_16_1,223,67,3,16,1,NA,NA,NA,1,3.4,7
2_15_2,152,74,2,15,2,NA,1,1,2,3.8,7
4_3_3,252,18,4,3,3,1,NA,NA,2,3.45,6.9
2_21_1,154,76,2,21,1,1,NA,NA,4,4.6,8.6
2_21_2,155,77,2,21,2,NA,NA,NA,3,3.6,4.9
2_21_3,156,78,2,21,3,NA,NA,NA,3,4.5,10.5
3_2_1,157,1,3,2,1,NA,NA,NA,0,NA,NA
3_2_2,158,2,3,2,2,1,NA,NA,1,5.2,8
3_2_3,159,3,3,2,3,NA,NA,NA,2,4.6,8
3_6_1,160,4,3,6,1,NA,1,NA,1,4.85,12
3_6_2,161,5,3,6,2,1,NA,NA,2,4.1,7.6
3_6_3,162,6,3,6,3,NA,NA,NA,1,3.7,8.5
3_23_1,163,7,3,23,1,NA,NA,NA,2,2.6,3
3_23_2,164,8,3,23,2,1,NA,NA,1,2.9,5.6
3_23_3,165,9,3,23,3,NA,NA,NA,1,3,3.8
3_11_1,166,10,3,11,1,NA,NA,NA,2,5.7,10.2
3_11_2,167,11,3,11,2,1,NA,NA,1,5,9.1
3_11_3,168,12,3,11,3,NA,NA,NA,2,5.3,12
3_21_1,169,13,3,21,1,NA,NA,NA,1,2.85,6.9
3_21_2,170,14,3,21,2,1,NA,NA,3,2.4,2.9
3_21_3,171,15,3,21,3,NA,NA,NA,1,2.75,5.1
3_22_1,172,16,3,22,1,NA,NA,1,4,3,1.25
3_22_2,173,17,3,22,2,1,1,NA,1,2.75,7.4
5_22_1,379,67,5,22,1,NA,NA,NA,2,4.1,6.9
3_1_1,175,19,3,1,1,NA,NA,1,2,4.5,8.5
3_1_2,176,20,3,1,2,1,1,NA,1,4.5,10.1
6_1_1,460,70,6,1,1,NA,NA,NA,2,3.45,6.9
3_19_1,178,22,3,19,1,NA,NA,NA,2,1.75,2
3_19_2,179,23,3,19,2,NA,1,NA,2,2.85,5
3_19_3,180,24,3,19,3,1,NA,NA,1,2.4,3.8
3_8_1,181,25,3,8,1,NA,NA,NA,1,3.7,7.4
3_8_2,182,26,3,8,2,1,NA,NA,1,4,6.7
3_8_3,183,27,3,8,3,NA,NA,NA,2,3.8,9.4
2_18_3,150,72,2,18,3,NA,NA,NA,3,3.5,6.8
3_15_2,185,29,3,15,2,1,NA,NA,1,1.25,2.8
3_15_3,186,30,3,15,3,NA,1,1,2,3.5,8.5
3_17_1,187,31,3,17,1,NA,NA,NA,1,4.5,8.7
3_17_2,188,32,3,17,2,NA,NA,NA,2,2.45,4.4
3_17_3,189,33,3,17,3,1,NA,NA,2,3.9,7.8
5_15_1,331,19,5,15,1,NA,NA,NA,2,3.25,6.8
3_3_2,191,35,3,3,2,NA,NA,1,2,3.5,7.2
5_16_3,363,51,5,16,3,NA,NA,NA,2,3.6,6.8
6_15_1,454,64,6,15,1,NA,NA,NA,2,3.6,6.8
3_26_2,194,38,3,26,2,1,1,NA,1,3.8,6
3_26_3,195,39,3,26,3,NA,NA,1,2,2.9,5.7
3_20_1,196,40,3,20,1,NA,NA,NA,1,4.2,12
3_20_2,197,41,3,20,2,1,NA,NA,1,3.75,7.5
3_20_3,198,42,3,20,3,NA,NA,NA,1,4.1,6.5
3_9_1,199,43,3,9,1,NA,1,NA,1,3.7,9.1
3_9_2,200,44,3,9,2,NA,NA,NA,2,3.2,5.4
3_9_3,201,45,3,9,3,1,NA,NA,1,2.7,4.8
3_12_1,202,46,3,12,1,NA,NA,NA,2,5,10
3_12_2,203,47,3,12,2,1,NA,NA,2,4.6,7.3
3_12_3,204,48,3,12,3,NA,NA,NA,2,4.4,9.1
3_5_1,205,49,3,5,1,1,1,NA,1,4.25,6.9
3_5_2,206,50,3,5,2,NA,NA,NA,2,4.4,8.4
3_5_3,207,51,3,5,3,NA,NA,NA,3,5.1,8
3_24_1,208,52,3,24,1,NA,NA,NA,1,1.6,5.3
3_24_2,209,53,3,24,2,NA,NA,NA,3,5.1,8.4
3_24_3,210,54,3,24,3,1,NA,NA,2,6.5,11.5
6_15_3,456,66,6,15,3,NA,NA,NA,1,3.2,6.7
3_18_2,212,56,3,18,2,NA,NA,NA,2,5.2,8.4
3_18_3,213,57,3,18,3,1,1,1,1,3.5,6.2
3_13_1,214,58,3,13,1,1,NA,NA,3,3.75,5.5
3_13_2,215,59,3,13,2,NA,NA,NA,2,3.85,8.6
3_13_3,216,60,3,13,3,NA,1,NA,1,3.7,8
3_7_1,217,61,3,7,1,NA,NA,NA,3,4.1,7.9
3_7_2,218,62,3,7,2,1,NA,NA,2,4,6.5
3_7_3,219,63,3,7,3,NA,1,NA,1,3.75,8.5
3_14_1,220,64,3,14,1,NA,NA,NA,3,4.5,7.8
3_14_2,221,65,3,14,2,1,1,NA,1,3.75,6.8
3_14_3,222,66,3,14,3,NA,NA,NA,3,3.5,5.1
5_18_3,378,66,5,18,3,NA,NA,NA,2,3.4,6.5
3_16_2,224,68,3,16,2,1,NA,1,2,3.2,7.9
1_18_1,52,52,1,18,1,1,NA,NA,1,4.4,6.4
3_4_1,226,70,3,4,1,1,NA,NA,1,3.85,6.8
3_4_2,227,71,3,4,2,NA,NA,NA,2,3.8,7
3_4_3,228,72,3,4,3,NA,NA,NA,2,3.8,8.2
3_10_1,229,73,3,10,1,NA,NA,NA,3,3.1,5.8
3_10_2,230,74,3,10,2,NA,NA,NA,2,3,5.3
3_10_3,231,75,3,10,3,1,1,NA,1,2.6,6.7
3_25_1,232,76,3,25,1,NA,1,NA,2,2.9,5.3
3_25_2,233,77,3,25,2,1,NA,NA,2,3.2,6.6
3_25_3,234,78,3,25,3,NA,NA,NA,0,NA,NA
4_9_1,235,1,4,9,1,NA,NA,NA,0,NA,NA
4_9_2,236,2,4,9,2,1,1,NA,1,4.1,10.8
4_9_3,237,3,4,9,3,NA,NA,NA,1,5.1,11
4_21_1,238,4,4,21,1,NA,NA,NA,2,4.2,7
4_21_2,239,5,4,21,2,1,NA,NA,2,3.8,4.6
4_21_3,240,6,4,21,3,NA,NA,NA,2,2.6,4.4
4_5_1,241,7,4,5,1,1,NA,NA,1,3.3,5.1
4_5_2,242,8,4,5,2,NA,1,NA,2,5.5,10.8
4_5_3,243,9,4,5,3,NA,NA,NA,2,4.6,7.5
4_14_1,244,10,4,14,1,NA,1,NA,1,3.25,6.2
4_14_2,245,11,4,14,2,1,NA,NA,1,3.9,6.8
4_14_3,246,12,4,14,3,NA,NA,NA,2,2.8,6.1
4_17_1,247,13,4,17,1,NA,NA,NA,1,3.1,6.6
4_17_2,248,14,4,17,2,1,NA,NA,1,4.5,8.1
4_17_3,249,15,4,17,3,NA,NA,NA,2,3.75,5.9
4_18_3,285,51,4,18,3,1,1,NA,1,3.5,6.2
4_3_2,251,17,4,3,2,NA,NA,NA,2,3.2,5.7
4_1_1,301,67,4,1,1,1,1,NA,4,3.8,6.2
4_12_1,253,19,4,12,1,NA,NA,NA,1,4.9,5.9
4_12_2,254,20,4,12,2,NA,NA,NA,1,4.2,8.2
4_12_3,255,21,4,12,3,1,NA,NA,1,3.75,6.5
4_11_1,256,22,4,11,1,NA,NA,NA,2,3.25,7.9
4_11_2,257,23,4,11,2,1,NA,NA,1,3.4,7.2
4_11_3,258,24,4,11,3,NA,NA,NA,2,4.2,8
4_2_1,259,25,4,2,1,NA,NA,NA,2,3.1,4.3
4_2_2,260,26,4,2,2,1,NA,NA,2,3.3,6.5
4_2_3,261,27,4,2,3,NA,NA,NA,2,3.8,6.3
4_24_1,262,28,4,24,1,NA,NA,NA,2,2.7,4.5
4_24_2,263,29,4,24,2,1,NA,NA,4,3,4.6
4_24_3,264,30,4,24,3,NA,NA,NA,2,2.15,3.5
4_7_1,265,31,4,7,1,NA,NA,NA,2,4.25,7.6
4_7_2,266,32,4,7,2,NA,1,NA,2,4.3,6.7
4_7_3,267,33,4,7,3,1,NA,NA,1,3.7,5.8
4_10_1,268,34,4,10,1,NA,NA,NA,2,4,4.4
4_10_2,269,35,4,10,2,1,1,NA,2,4.6,8.2
4_10_3,270,36,4,10,3,NA,NA,NA,3,3,3
4_4_1,271,37,4,4,1,NA,NA,NA,2,3.25,4.3
4_4_2,272,38,4,4,2,1,NA,NA,2,3.6,7.1
4_4_3,273,39,4,4,3,NA,NA,NA,1,2.8,5
5_1_3,330,18,5,1,3,1,NA,NA,1,3.5,6.2
4_16_2,275,41,4,16,2,NA,NA,1,2,3.85,6.3
5_16_1,361,49,5,16,1,NA,NA,NA,1,3.5,6.2
4_15_1,277,43,4,15,1,NA,NA,1,1,3.7,7
4_15_2,278,44,4,15,2,NA,NA,NA,2,3.8,5.8
3_15_1,184,28,3,15,1,NA,NA,NA,2,3.25,6
4_23_1,280,46,4,23,1,NA,NA,NA,1,3.5,3.6
4_23_2,281,47,4,23,2,1,NA,NA,1,3,5
4_23_3,282,48,4,23,3,NA,NA,NA,2,2.7,3
4_3_1,250,16,4,3,1,NA,NA,NA,2,3.5,6
4_18_2,284,50,4,18,2,NA,NA,1,2,3.2,5.7
4_16_1,274,40,4,16,1,1,NA,NA,2,3.5,5.9
4_19_1,286,52,4,19,1,1,1,NA,2,3.75,7
4_19_2,287,53,4,19,2,NA,NA,NA,2,3.2,5.7
4_19_3,288,54,4,19,3,NA,NA,NA,4,2.25,2
4_8_1,289,55,4,8,1,NA,NA,NA,2,3.6,6.8
4_8_2,290,56,4,8,2,1,NA,NA,2,4.25,6
4_8_3,291,57,4,8,3,NA,NA,NA,2,4.25,6.7
4_13_1,292,58,4,13,1,NA,NA,NA,3,3,4.1
4_13_2,293,59,4,13,2,1,1,NA,2,3,4.6
4_13_3,294,60,4,13,3,NA,NA,NA,2,3.55,5.5
4_20_1,295,61,4,20,1,NA,NA,NA,2,3,3.6
4_20_2,296,62,4,20,2,1,NA,NA,2,3.5,7.3
4_20_3,297,63,4,20,3,NA,NA,NA,2,3.7,5.5
1_3_1,7,7,1,3,1,NA,NA,NA,2,3.4,5.8
4_26_2,299,65,4,26,2,NA,1,1,4,3.1,4.8
1_26_1,76,76,1,26,1,NA,NA,NA,2,3,5.8
4_1_3,303,69,4,1,3,NA,NA,NA,3,3.2,5.6
4_1_2,302,68,4,1,2,NA,NA,1,2,3.45,6
3_3_3,192,36,3,3,3,NA,NA,NA,2,3.2,5.5
6_3_3,453,63,6,3,3,NA,NA,NA,2,2.75,5.4
4_22_2,305,71,4,22,2,NA,NA,NA,2,0.7,NA
4_18_1,283,49,4,18,1,NA,NA,NA,2,3.2,5.2
4_6_1,307,73,4,6,1,1,NA,NA,1,2.5,5.4
4_6_2,308,74,4,6,2,NA,1,NA,2,3,5.4
4_6_3,309,75,4,6,3,NA,NA,NA,1,3.25,4.1
4_25_1,310,76,4,25,1,1,NA,NA,1,3.2,6
4_25_2,311,77,4,25,2,NA,NA,NA,2,2.35,4.9
4_25_3,312,78,4,25,3,NA,1,NA,1,2.75,3.7
5_9_1,313,1,5,9,1,NA,NA,NA,0,NA,NA
5_9_2,314,2,5,9,2,1,NA,NA,1,3.4,6
5_9_3,315,3,5,9,3,NA,NA,NA,1,4.25,8.9
5_21_1,316,4,5,21,1,NA,NA,NA,1,3.6,5.1
5_21_2,317,5,5,21,2,1,NA,NA,1,4.2,6.7
5_21_3,318,6,5,21,3,NA,NA,NA,1,3.8,4.7
5_12_1,319,7,5,12,1,NA,NA,NA,1,4.1,7.5
5_12_2,320,8,5,12,2,1,NA,NA,1,4.1,6.6
5_12_3,321,9,5,12,3,NA,NA,NA,2,1.5,3.4
5_23_1,322,10,5,23,1,NA,NA,NA,2,2.75,5.1
5_23_2,323,11,5,23,2,1,NA,NA,1,4.5,6.3
5_23_3,324,12,5,23,3,NA,NA,NA,1,2.45,3.6
5_19_1,325,13,5,19,1,1,NA,NA,1,3.25,6.7
5_19_2,326,14,5,19,2,NA,NA,NA,2,2,3.1
5_19_3,327,15,5,19,3,NA,NA,NA,2,1.9,2.9
5_1_1,328,16,5,1,1,NA,NA,1,2,3.6,7.2
5_1_2,329,17,5,1,2,NA,NA,NA,3,3.9,6.5
2_1_1,124,46,2,1,1,NA,NA,NA,2,3.85,5.1
2_22_1,97,19,2,22,1,1,1,NA,1,2.3,5
5_15_2,332,20,5,15,2,NA,NA,NA,2,3.4,6.2
5_15_3,333,21,5,15,3,1,NA,1,1,3.75,6.2
3_18_1,211,55,3,18,1,NA,NA,NA,2,3,5
5_3_2,335,23,5,3,2,NA,NA,NA,1,3,3.6
5_3_3,336,24,5,3,3,1,NA,1,1,3.75,5.6
5_4_1,337,25,5,4,1,NA,NA,NA,2,3.2,5.5
5_4_2,338,26,5,4,2,NA,NA,NA,2,4.1,4.9
5_4_3,339,27,5,4,3,1,NA,NA,2,3.3,4.5
5_5_1,340,28,5,5,1,NA,NA,NA,2,2.25,3.6
5_5_2,341,29,5,5,2,NA,NA,NA,2,3.5,5.9
5_5_3,342,30,5,5,3,1,NA,NA,1,3.75,7.4
5_17_1,343,31,5,17,1,NA,NA,NA,1,4.3,6
5_17_2,344,32,5,17,2,1,NA,NA,1,3.9,7.5
5_17_3,345,33,5,17,3,NA,NA,NA,2,3.9,7.3
3_1_3,177,21,3,1,3,NA,NA,NA,2,3.25,4.9
5_26_2,347,35,5,26,2,NA,NA,NA,1,0.75,NA
6_26_1,397,7,6,26,1,NA,NA,NA,1,2.4,4.9
5_8_1,349,37,5,8,1,1,NA,NA,1,3.6,10
5_8_2,350,38,5,8,2,NA,NA,NA,2,4.5,8.1
5_8_3,351,39,5,8,3,NA,NA,NA,4,3.75,7.1
5_2_1,352,40,5,2,1,NA,NA,NA,2,1.9,3.4
5_2_2,353,41,5,2,2,1,NA,NA,1,2.8,4.7
5_2_3,354,42,5,2,3,NA,NA,NA,1,4.1,7.8
5_11_1,355,43,5,11,1,NA,NA,NA,2,5.4,9.3
5_11_2,356,44,5,11,2,1,NA,NA,1,4.15,7.6
5_11_3,357,45,5,11,3,NA,NA,NA,1,5.2,8.5
5_13_1,358,46,5,13,1,NA,NA,NA,2,3.8,4.6
5_13_2,359,47,5,13,2,1,NA,NA,2,4.4,8.6
5_13_3,360,48,5,13,3,NA,NA,NA,4,4.1,7.8
4_26_1,298,64,4,26,1,1,NA,NA,4,2.4,4.8
5_16_2,362,50,5,16,2,1,NA,1,2,4.75,8.7
6_22_1,466,76,6,22,1,NA,NA,NA,1,2.9,4.6
5_14_1,364,52,5,14,1,NA,NA,NA,2,3.25,6
5_14_2,365,53,5,14,2,1,NA,NA,2,2.65,3.7
5_14_3,366,54,5,14,3,NA,NA,NA,1,3.6,7.3
5_7_1,367,55,5,7,1,NA,NA,NA,2,2.6,4.6
5_7_2,368,56,5,7,2,1,NA,NA,2,4.3,9.1
5_7_3,369,57,5,7,3,NA,NA,NA,2,3.5,6.9
5_24_1,370,58,5,24,1,NA,NA,NA,4,2.3,3
5_24_2,371,59,5,24,2,1,NA,NA,2,3.1,5.6
5_24_3,372,60,5,24,3,NA,NA,NA,1,3.85,6.9
5_25_1,373,61,5,25,1,NA,NA,NA,2,2.7,4.5
5_25_2,374,62,5,25,2,1,NA,NA,1,4.1,6.9
5_25_3,375,63,5,25,3,NA,NA,NA,3,3.8,6.6
1_1_1,1,1,1,1,1,NA,NA,NA,1,3.75,4.54
5_18_2,377,65,5,18,2,1,NA,1,1,4.2,8.7
3_16_3,225,69,3,16,3,NA,NA,NA,4,3.1,4.3
5_18_1,376,64,5,18,1,NA,NA,NA,1,3.2,4.3
5_22_2,380,68,5,22,2,1,NA,NA,1,3.5,5.3
5_22_3,381,69,5,22,3,NA,NA,1,2,3.2,3.9
5_20_1,382,70,5,20,1,1,NA,NA,2,3.8,7.5
5_20_2,383,71,5,20,2,NA,NA,NA,2,3.4,6.1
5_20_3,384,72,5,20,3,NA,NA,NA,2,2.85,3.6
5_10_1,385,73,5,10,1,NA,NA,NA,1,3.5,7.2
5_10_2,386,74,5,10,2,1,NA,NA,1,3.2,6.3
5_10_3,387,75,5,10,3,NA,NA,NA,1,2.3,3.3
5_6_1,388,76,5,6,1,NA,NA,NA,2,2.6,4.1
5_6_2,389,77,5,6,2,1,NA,NA,2,3.3,7.4
5_6_3,390,78,5,6,3,NA,NA,NA,2,2.7,5.4
6_14_1,391,1,6,14,1,NA,NA,NA,0,NA,NA
6_14_2,392,2,6,14,2,NA,NA,NA,1,2.9,5.6
6_14_3,393,3,6,14,3,1,NA,NA,1,3.25,7.4
5_26_3,348,36,5,26,3,1,NA,NA,1,2.3,4.2
6_16_2,395,5,6,16,2,NA,NA,NA,2,4.85,11
4_22_3,306,72,4,22,3,1,1,NA,1,2.7,3.9
4_22_1,304,70,4,22,1,NA,NA,NA,3,1.75,3.7
6_26_2,398,8,6,26,2,NA,NA,NA,1,3.1,6.6
6_26_3,399,9,6,26,3,NA,NA,1,2,1.75,2.4
6_2_1,400,10,6,2,1,NA,NA,NA,1,4.5,11.2
6_2_2,401,11,6,2,2,1,NA,NA,1,3.25,7.1
6_2_3,402,12,6,2,3,NA,NA,NA,1,3,5
6_9_1,403,13,6,9,1,NA,NA,NA,3,4.25,7.2
6_9_2,404,14,6,9,2,1,NA,NA,1,4.3,8.3
6_9_3,405,15,6,9,3,NA,NA,NA,2,3.75,6.4
6_5_1,406,16,6,5,1,NA,NA,NA,2,3.1,5.8
6_5_2,407,17,6,5,2,NA,NA,NA,2,2.25,3.5
6_5_3,408,18,6,5,3,1,NA,NA,1,3.6,5
6_25_1,409,19,6,25,1,NA,NA,NA,2,3.1,6.5
6_25_2,410,20,6,25,2,1,NA,NA,1,2.75,6.3
6_25_3,411,21,6,25,3,NA,NA,NA,1,3,6.4
6_24_1,412,22,6,24,1,NA,NA,NA,2,2.4,4.9
6_24_2,413,23,6,24,2,NA,NA,NA,2,2.75,4.5
