site.pop,site,pop,rep,ind.x,ind.id,pop.name,mkleaf,sdkleaf,nkleaf,mkstem,sdkstem,nkstem,mkstem.sa.l,mWD,nWD,mleafsize,nhub,mstemlength,mstemarea,mleafarea,mleafmass,mstemmass,mSLA,mLDMC,mml_ms,P50leaf,P50stem,mAl_As,log.Al_As,log.leafsize,cwd,aet,pet,ppt,tmn,tmx,cwd.2018wy,aet.2018wy,pet.2018wy,ppt.2018wy,tmn.2018wy,tmx.2018wy
W15,W,15,1,NA,W15_1,SUG,2.351660011,0.261844001,4,29.52978955,NA,2,664.2106525,0.688667075,3,7.665138889,3,67.26333333,3.650641201,77.84966667,1.0189,0.2389,77.88665444,0.432501198,10.54175167,NA,NA,24.69230371,1.39256161,0.884520028,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
W15,W,15,2,NA,W15_2,SUG,1.698807197,0.137121967,4,46.91698716,15.53893061,3,1123.568179,0.703750119,3,5.825059524,3,38.56,1.295502635,44.82633333,0.4781,0.061433333,93.66951705,0.447800579,7.808002319,-4.68,-5.06,30.00772034,1.477233004,0.765300368,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
W15,W,15,3,NA,W15_3,SUG,1.924801623,0.009530367,2,51.03740686,25.19748367,4,1041.66523,0.678496536,2,6.820240741,3,20.54333333,1.906135163,52.03133333,0.613466667,0.045266667,87.63480275,0.415744392,14.02243713,-2.83,-3.66,27.92978092,1.446067529,0.833799705,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
W15,W,15,5,NA,W15_5,SUG,1.852543474,0.262658188,3,36.64481101,4.999099197,3,521.304877,0.684530147,3,5.4209,3,23.53,1.463214231,29.154,0.3733,0.049366667,88.50008566,0.409510147,8.251856921,-4.04,-4.18,18.38038242,1.264354543,0.734071396,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
W15,W,15,6,NA,W15_6,SUG,1.756284658,0.06238157,2,21.29390657,9.761348806,3,521.8437963,0.676277403,3,7.284892593,3,30.29,2.077296693,50.08366667,0.55,0.066233333,93.20008938,0.381858237,8.18964267,-1.1,-3.92,24.14173994,1.382768567,0.862423153,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.2399998,519.7600031,1248.000004,768.570014,8.170833349,22.24083304
W16,W,16,1,NA,W16_1,SRD,1.53078163,0.187935252,3,24.6184977,7.58573362,4,1209.481995,0.74685636,2,8.371533333,3,20.31333333,1.66383692,41.85766667,0.538166667,0.0586,78.01654543,0.499495356,9.594924963,-4.2,-3.74,33.74892852,1.528259989,0.922805011,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W16,W,16,2,NA,W16_2,SRD,1.64909615,0.087850445,3,20.04455093,5.7835497,4,601.7184123,0.765787839,2,11.64551347,3,43.16333333,2.969695176,124.6213333,1.311066667,0.2343,95.32600773,0.440264444,6.02302079,-3.8,NA,40.23618967,1.604616847,1.066158642,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W16,W,16,3,NA,W16_3,SRD,1.626041856,0.207150939,3,38.05843339,3.908881127,3,865.8336368,0.774569758,2,5.680906746,3,30.45,1.450487873,39.923,0.464833333,0.064733333,85.81301336,0.491692839,7.656394294,-3,NA,24.98315759,1.397647327,0.75441766,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W16,W,16,5,NA,W16_5,SRD,1.692883657,0.191972709,4,28.53558879,12.68348205,3,679.8092413,0.742812749,2,7.362097222,3,30.82333333,1.6432304,48.88566667,0.531266667,0.0956,91.82754622,0.451269695,5.681244585,NA,NA,29.26584622,1.466361086,0.867001548,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
W16,W,16,6,NA,W16_6,SRD,1.60394417,0.217962964,3,44.66465746,16.76605982,3,1167.835747,0.772998923,2,8.370135714,3,46.30333333,2.436302195,70.57533333,0.884566667,0.1536,80.86553642,0.50761723,5.650915425,-3.4,-5.23,29.18702236,1.465189791,0.9227325,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
